,Theta,Phi,A1,A2,delvec,delang,norm
74,3.89,33.489999999999895,"[476.48295013060005, 249.5070870838]","[44.323855332399944, 1074.7997597456]",0.0019717261484839843,7.603605041595074e-06,1423.034909331392
75,3.89,33.489999999999895,"[-476.48295013060005, -249.5070870838]","[-454.3210224644, 287.892792789]",0.0019717261484839843,4.34595820308914e-06,931.595136205165
76,3.89,33.489999999999895,"[-476.48295013060005, -249.5070870838]","[-22.161927666199972, -537.3998798728]",0.0019717261484839843,7.603605041595074e-06,931.5950240301959
77,3.89,33.489999999999895,"[-476.48295013060005, -249.5070870838]","[-44.323855332399944, -1074.7997597456]",0.0019717261484839843,7.603605041595074e-06,1423.034909331392
78,3.89,33.489999999999895,"[454.3210224644, -287.892792789]","[476.48295013060005, 249.5070870838]",0.0019420792143640983,4.34595820308914e-06,931.595136205165
79,3.89,33.489999999999895,"[454.3210224644, -287.892792789]","[-22.161927666199972, -537.3998798728]",0.0019420792143640983,3.2576468242950796e-06,931.595125988783
80,3.89,33.489999999999895,"[454.3210224644, -287.892792789]","[-44.323855332399944, -1074.7997597456]",0.0019420792143640983,3.2576468242950796e-06,1423.0350205773325
81,3.89,33.489999999999895,"[-454.3210224644, 287.892792789]","[-476.48295013060005, -249.5070870838]",0.0019420792143640983,4.34595820308914e-06,931.595136205165
82,3.89,33.489999999999895,"[-454.3210224644, 287.892792789]","[22.161927666199972, 537.3998798728]",0.0019420792143640983,3.2576468242950796e-06,931.595125988783
83,3.89,33.489999999999895,"[-454.3210224644, 287.892792789]","[44.323855332399944, 1074.7997597456]",0.0019420792143640983,3.2576468242950796e-06,1423.0350205773325
84,3.89,33.489999999999895,"[-22.161927666199972, -537.3998798728]","[-476.48295013060005, -249.5070870838]",0.002020174242492371,7.603605041595074e-06,931.5950240301959
85,3.89,33.489999999999895,"[-22.161927666199972, -537.3998798728]","[454.3210224644, -287.892792789]",0.002020174242492371,3.2576468242950796e-06,931.595125988783
86,3.89,33.489999999999895,"[22.161927666199972, 537.3998798728]","[476.48295013060005, 249.5070870838]",0.002020174242492371,7.603605041595074e-06,931.5950240301959
87,3.89,33.489999999999895,"[22.161927666199972, 537.3998798728]","[-454.3210224644, 287.892792789]",0.002020174242492371,3.2576468242950796e-06,931.595125988783
88,3.89,33.489999999999895,"[-44.323855332399944, -1074.7997597456]","[-476.48295013060005, -249.5070870838]",0.004040348484984742,7.603605041595074e-06,1423.034909331392
89,3.89,33.489999999999895,"[-44.323855332399944, -1074.7997597456]","[454.3210224644, -287.892792789]",0.004040348484984742,3.2576468242950796e-06,1423.0350205773325
90,3.89,33.489999999999895,"[44.323855332399944, 1074.7997597456]","[476.48295013060005, 249.5070870838]",0.004040348484984742,7.603605041595074e-06,1423.034909331392
91,3.89,33.489999999999895,"[44.323855332399944, 1074.7997597456]","[-454.3210224644, 287.892792789]",0.004040348484984742,3.2576468242950796e-06,1423.0350205773325
92,3.89,53.989999999999824,"[159.8829874778, 52.0948863142]","[125.05701060039999, -112.4152809938]",0.002968703846573583,6.165089565968174e-06,291.25478969298916
93,3.89,53.989999999999824,"[159.8829874778, 52.0948863142]","[34.825976877399995, 164.510167308]",0.002968703846573583,6.9749686133491196e-06,291.25475112854497
94,3.89,53.989999999999824,"[-159.8829874778, -52.0948863142]","[-125.05701060039999, 112.4152809938]",0.002968703846573583,6.165089565968174e-06,291.25478969298916
95,3.89,53.989999999999824,"[-159.8829874778, -52.0948863142]","[-34.825976877399995, -164.510167308]",0.002968703846573583,6.9749686133491196e-06,291.25475112854497
96,3.89,53.989999999999824,"[125.05701060039999, -112.4152809938]","[159.8829874778, 52.0948863142]",0.0029798737847961925,6.165089565968174e-06,291.25478969298916
97,3.89,53.989999999999824,"[125.05701060039999, -112.4152809938]","[-34.825976877399995, -164.510167308]",0.0029798737847961925,8.098790473809458e-07,291.2547739761085
98,3.89,53.989999999999824,"[-125.05701060039999, 112.4152809938]","[-159.8829874778, -52.0948863142]",0.0029798737847961925,6.165089565968174e-06,291.25478969298916
99,3.89,53.989999999999824,"[-125.05701060039999, 112.4152809938]","[34.825976877399995, 164.510167308]",0.0029798737847961925,8.098790473809458e-07,291.2547739761085
