n1,n2,m1,m2,norm_m1m2,err_m1,err_m2,delvec,m1_true,m2_true,angle
338,-287,287,-338,443.41064488800896,-1.5485792914660124e-6,-1.3149179380889109e-6,8.106567946371019e-6,286.9999984514207,-338.00000131491794,9.33
-428,-35,-428,35,429.42869023855405,-7.379463795587071e-8,-9.024037055382905e-7,3.6129529960291046e-6,-428.00000007379464,34.999999097596294,9.35
-35,428,35,428,429.42869023855405,-9.024037055382905e-7,7.379469479928957e-8,3.612953024356256e-6,34.999999097596294,428.0000000737947,9.35
35,-428,-35,-428,429.42869023855405,9.024037055382905e-7,-7.379469479928957e-8,3.612953024356256e-6,-34.999999097596294,-428.0000000737947,9.35
428,35,428,-35,429.42869023855405,7.379463795587071e-8,9.024037055382905e-7,3.6129529960291046e-6,428.00000007379464,-34.999999097596294,9.35
-463,393,-393,463,607.3038778074779,-9.761983505995886e-7,-8.286089610010094e-7,5.109487220426096e-6,-393.00000097619835,462.99999917139104,9.35
-393,-463,-463,-393,607.3038778074779,8.286090178444283e-7,-9.761984074430075e-7,5.109487220426096e-6,-462.999999171391,-393.0000009761984,9.35
393,463,463,393,607.3038778074779,-8.286090178444283e-7,9.761984074430075e-7,5.109487220426096e-6,462.999999171391,393.0000009761984,9.35
463,-393,393,-463,607.3038778074779,9.761983505995886e-7,8.286089610010094e-7,5.109487220426096e-6,393.00000097619835,-462.99999917139104,9.35
-131,110,-110,131,171.05846953600397,1.8459740687148951e-6,1.550054548715707e-6,9.618625994713216e-6,-109.99999815402593,131.00000155005455,9.96
-110,-131,-131,-110,171.05846953600397,-1.5500545202939975e-6,1.8459740545040404e-6,9.618625951181387e-6,-131.00000155005452,-109.99999815402595,9.96
110,131,131,110,171.05846953600397,1.5500545202939975e-6,-1.8459740545040404e-6,9.618625951181387e-6,131.00000155005452,109.99999815402595,9.96
131,-110,110,-131,171.05846953600397,-1.8459740687148951e-6,-1.550054548715707e-6,9.618625994713216e-6,109.99999815402593,-131.00000155005455,9.96
-241,-21,-241,21,241.91320757660174,2.959195342100429e-7,3.3960285996670336e-6,0.000013602791252462859,-240.99999970408047,21.0000033960286,9.96
-21,241,21,241,241.91320757660174,3.3960286032197473e-6,-2.959195057883335e-7,0.000013602791252462859,21.000003396028603,240.9999997040805,9.96
21,-241,-21,-241,241.91320757660174,-3.3960286032197473e-6,2.959195057883335e-7,0.000013602791252462859,-21.000003396028603,-240.9999997040805,9.96
241,21,241,-21,241.91320757660174,-2.959195342100429e-7,-3.3960285996670336e-6,0.000013602791252462859,240.99999970408047,-21.0000033960286,9.96
-262,220,-220,262,342.11693907200794,3.6919481374297902e-6,3.100109097431414e-6,0.000019237251989426432,-219.99999630805186,262.0000031001091,9.96
-220,-262,-262,-220,342.11693907200794,-3.100109040587995e-6,3.691948109008081e-6,0.000019237251902362775,-262.00000310010904,-219.9999963080519,9.96
